"Name","Unmodelled (BP)",,,,,,"Modelled (BP)",,,,,,"Indices
Amodel 934.8
Aoverall 674.7",
,"from","to","%","from","to","%","from","to","%","from","to","%","Acomb","A","L","P","C",
"Curve IntCal20",,,,,,,,,,,,,,,,,,
"Sequence",,,,,,,,,,,,,,,,,,
"R_Date Lyon-6984","9200","9015","68.26895","9275","9005","95.449974","9115","9040","68.268949","9145","9010","95.449974",,123.6,,,100,
"R_Date Gif-9277","9270","9000","68.26894899999999","9425","8775","95.449973","9075","9010","68.268949","9120","8995","95.449974",,135.3,,,100,
"R_Date Lyon-6985","9125","8990","68.26894899999999","9265","8785","95.449974","9035","8990","68.268949","9100","8865","95.449974",,129.6,,,100,
"R_Date KIA-31351","9090","8780","68.26895","9200","8650","95.449974","9025","8810","68.268949","9030","8775","95.449974",,118.2,,,99.9,
"R_Date Beta-383255","8980","8650","68.26894899999999","8985","8640","95.449974","8935","8710","68.26894899999999","8985","8660","95.449974",,102.9,,,99.9,
"R_Date KIA-38503","8720","8590","68.26895","8970","8545","95.449973","8765","8625","68.26895","8860","8595","95.449974",,79.9,,,99.9,
"R_Date OxA-4781","8855","8540","68.268949","8985","8455","95.44997299999999","8690","8590","68.26895","8760","8560","95.449974",,135.8,,,99.9,
"R_Date Gif-8913","8930","8485","68.26894899999999","8985","8430","95.44997299999999","8640","8560","68.268949","8700","8530","95.449974",,140.7,,,100,
"R_Date KIA-38497","8595","8475","68.268949","8630","8425","95.449973","8595","8540","68.268949","8610","8490","95.449974",,120.7,,,100,
"R_Date KIA-38504","8590","8460","68.26894899999999","8600","8430","95.449974","8580","8510","68.268949","8590","8465","95.449974",,109.3,,,100,
"R_Date OxA-8943","8590","8450","68.26894899999999","8635","8405","95.449974","8535","8460","68.268949","8565","8435","95.449974",,114.2,,,100,
"R_Date KIA-38498","8540","8445","68.268949","8590","8410","95.449973","8490","8425","68.268949","8530","8415","95.449974",,107.3,,,99.9,
"R_Date KIA-38500","8520","8395","68.268949","8540","8385","95.449974","8450","8400","68.268949","8485","8380","95.449974",,117.1,,,100,
"Boundary Middle-Late Mesolithic Transition",,,,,,,"8405","8110","68.268949","8435","8035","95.449974",,,,,99.8,
"Sequence Late Mesolithic",,,,,,,,,,,,,,,,,,
"R_Date LV-1615","8285","8030","68.268949","8340","8015","95.449974","8185","8020","68.26895","8300","7970","95.449974",,103.6,,,99.8,
"R_Date Beta-282245","7945","7845","68.26894899999999","7975","7790","95.449973","7970","7880","68.268949","8010","7845","95.449974",,96.2,,,99.9,
"R_Date Gif-7994","8015","7730","68.268949","8180","7615","95.449974","7935","7840","68.268949","7965","7790","95.449974",,134,,,100,
"R_Date LV-1401","7930","7725","68.26894899999999","8005","7660","95.449973","7875","7780","68.268949","7925","7745","95.449974",,116.9,,,100,
"R_Date LV-959","7930","7725","68.26894899999999","8005","7660","95.449973","7830","7735","68.268949","7870","7700","95.449974",,114.2,,,100,
"R_Date Beta-251057","7785","7685","68.268949","7840","7665","95.449974","7770","7695","68.268949","7800","7675","95.449974",,112,,,100,
"R_Date Beta-251056","7780","7670","68.26894899999999","7835","7620","95.449973","7725","7670","68.268949","7775","7655","95.449974",,116.7,,,100,
"R_Date Beta-224150","7670","7605","68.268949","7685","7570","95.449974","7675","7625","68.268949","7685","7595","95.449974",,105.9,,,100,
"R_Date KIA-37694","7670","7605","68.268949","7685","7575","95.449974","7635","7580","68.268949","7660","7570","95.449974",,100.7,,,100,
"R_Date Beta-383262","7575","7505","68.268949","7580","7430","95.449974","7580","7530","68.268949","7585","7505","95.449974",,108.7,,,100,
"R_Date LV-1715","7580","7430","68.268949","7660","7425","95.449973","7565","7500","68.26895","7575","7485","95.449974",,125.1,,,100,
"R_Date Beta-401972","7505","7425","68.268949","7565","7425","95.449973","7515","7475","68.268949","7560","7460","95.449974",,88.1,,,100,
"R_Date Beta-383258","7505","7425","68.268949","7565","7425","95.449973","7500","7465","68.268949","7550","7445","95.44997400000001",,103,,,100,
"R_Date Beta-383260","7485","7425","68.268949","7560","7420","95.449973","7485","7450","68.268949","7505","7440","95.449974",,112,,,100,
"R_Date Beta-401971","7485","7425","68.268949","7565","7420","95.44997400000001","7475","7445","68.268949","7485","7425","95.449974",,124.3,,,100,
"R_Date Beta-383257","7485","7425","68.268949","7565","7420","95.44997400000001","7460","7425","68.268949","7470","7420","95.449974",,122,,,100,
"R_Date OxA-10561","7510","7420","68.268949","7565","7330","95.449974","7450","7420","68.268949","7470","7360","95.449973",,124.6,,,100,
"R_Date Beta-383259","7480","7355","68.26895","7510","7330","95.449974","7435","7360","68.26894899999999","7460","7335","95.449974",,124,,,100,
"R_Date OxA-8995","7480","7310","68.268949","7570","7255","95.449973","7430","7330","68.26894899999999","7430","7315","95.449974",,129.5,,,99.9,
"R_Date Beta-383256","7420","7275","68.268949","7425","7265","95.449974","7365","7290","68.268949","7420","7275","95.449973",,100,,,99.9,
"R_Date OxA-10509","7420","7265","68.268949","7425","7175","95.449974","7330","7270","68.268949","7395","7250","95.449974",,107.1,,,100,
"R_Date OxA-8942","7415","7170","68.26894899999999","7425","7165","95.449974","7310","7240","68.268949","7325","7165","95.449974",,114.4,,,99.9,
"R_Date OxA-8941","7240","7020","68.26895","7255","6990","95.449973","7260","7150","68.26894899999999","7265","7065","95.449974",,92.7,,,99.8,
"R_Date Gif-10419","7160","6795","68.268949","7250","6730","95.449974","7245","7085","68.268949","7250","6975","95.449974",,78.9,,,99.7,
"Boundary End Late Mesolithic",,,,,,,"7225","7030","68.26894899999999","7245","6910","95.449974",,,,,98.5,
